token,frequency
a,10
n,7
u,21
l,6
r,33
e,5
p,149
o,11
t,5
to,11
shareowner,1
one,2
thing,4
weve,8
learned,3
crisis,5
important,7
ha,11
become,2
customer,35
we,55
want,6
know,4
take,5
responsibility,1
seriously,1
proud,2
work,14
team,9
help,20
difficult,2
time,11
amazonians,4
working,5
around,6
clock,1
get,8
necessary,1
supply,2
delivered,1
directly,5
doorstep,1
people,8
need,11
the,13
demand,4
seeing,1
essential,4
product,9
remains,4
high,3
but,2
unlike,1
predictable,1
holiday,1
surge,1
spike,3
occurred,1
little,1
warning,1
creating,2
major,1
challenge,6
supplier,1
delivery,8
network,5
quickly,4
prioritized,1
stocking,1
household,1
staple,1
medical,4
critical,3
our,8
store,13
remained,1
open,2
providing,3
fresh,1
food,1
vital,2
good,4
taking,1
step,3
vulnerable,2
virus,4
setting,2
aside,1
first,6
hour,8
shopping,6
day,7
senior,2
temporarily,1
closed,3
star,1
dont,4
sell,1
offered,2
associate,5
opportunity,9
continue,15
part,4
service,9
focused,2
safety,2
employee,14
contractor,1
worldwe,1
deeply,1
grateful,4
heroic,1
committed,4
health,5
wellbeing,1
consulting,1
closely,1
expert,2
authority,1
made,2
significant,5
process,4
change,2
operation,2
stay,1
healthy,1
conduct,1
daily,1
audit,1
measure,8
put,1
place,2
distributed,1
face,3
mask,1
implemented,1
temperature,1
check,2
site,2
world,6
protect,3
support,11
staff,2
regularly,3
sanitize,1
door,1
handle,2
stairway,1
handrail,1
locker,1
elevator,1
button,1
touch,1
screen,1
disinfectant,1
wipe,1
hand,1
sanitizer,1
standard,1
across,6
also,11
introduced,1
extensive,2
social,2
distancing,3
eliminated,2
standup,1
meeting,1
shift,1
moved,2
information,5
sharing,1
bulletin,1
board,1
staggered,1
break,1
spread,3
chair,1
breakrooms,1
while,4
training,6
new,16
hire,2
challenging,2
requirement,1
ensure,3
every,3
six,1
shifted,1
protocol,1
gathering,1
spot,1
adjusted,1
hiring,3
allow,2
next,1
protecting,1
might,1
regular,3
testing,5
including,6
showing,2
symptom,2
global,3
scale,5
industry,1
would,6
keep,3
safe,1
economy,5
back,2
running,3
for,2
society,1
vastly,3
capacity,6
currently,2
available,3
if,1
person,2
could,4
tested,1
make,12
huge,1
difference,2
fight,1
those,2
test,2
positive,2
quarantined,1
cared,1
everyone,1
negative,1
reenter,1
confidence,1
begun,2
building,2
incremental,1
research,3
scientist,3
program,10
manager,1
procurement,1
specialist,1
software,1
engineersmoved,1
normal,2
job,13
onto,1
dedicated,2
initiative,2
assembling,1
equipment,2
build,5
lab,2
hope,2
start,2
small,2
number,3
frontline,1
soon,2
sure,1
far,2
relevant,1
timeframe,1
think,5
worth,1
trying,1
stand,2
ready,2
share,3
anything,1
learn,4
explore,2
longerterm,1
solution,2
helping,2
increased,2
minimum,7
wage,6
end,4
april,2
per,6
uk,4
many,8
country,4
and,6
paying,1
double,1
rate,3
overtime,1
workeda,1
houran,1
