token,frequency
embracing,2
report,233
contents,2
about,5
governance,46
fiveyear,1
summary,42
introduction,1
ping,1052
an,1035
chairmans,2
statement,177
business,613
performance,66
glance,1
honors,2
awards,1
management,787
and,179
analysis,105
changes,12
directors,98
supervisors,38
financial,707
statements,10
technologypowered,17
transformation,28
overview,7
life,255
health,154
insurance,1052
property,216
casualty,139
investment,670
fintech,36
healthtech,36
independent,103
auditors,5
consolidated,95
income,339
comprehensive,99
position,351
equity,172
cash,194
flows,4
notes,19
embedded,34
value,446
operating,151
profit,373
other,140
information,124
liquidity,59
capital,219
resources,6
risk,721
corporate,87
social,26
responsibility,33
prospects,2
future,96
development,125
definitions,1
cautionary,1
regarding,39
forwardlooking,12
to,37
extent,22
made,55
contain,10
historical,9
essentially,1
forward,25
looking,3
these,39
include,54
limited,111
projection,6
target,9
estimate,51
plan,97
expects,5
anticipates,2
may,106
occur,6
subject,25
known,13
unknown,1
uncertainty,13
general,88
specific,28
including,158
word,1
phrase,1
potential,18
objective,31
intends,1
belief,5
similar,24
expression,3
variation,2
considered,26
readers,1
cautioned,1
variety,9
factor,32
many,9
beyond,8
control,158
affect,12
operation,163
result,98
could,17
cause,4
actual,30
differ,6
materially,4
expectation,7
expressed,2
exchange,51
rate,270
fluctuation,9
market,191
share,383
competition,6
environmental,8
change,192
legal,32
regulatory,75
framework,33
international,24
economic,32
condition,40
carefully,2
reader,1
place,28
undue,2
reliance,1
companys,17
in,256
addition,18
undertakes,12
obligation,39
publicly,6
update,2
revise,2
contained,4
new,136
event,38
otherwise,19
employee,75
affiliate,1
responsible,26
making,22
representation,4
concerning,5
true,9
original,18
aspiration,8
march,40
thirty,1
year,679
wind,1
rain,1
dust,1
history,2
back,4
saw,3
flower,1
thorn,1
passion,1
mixed,6
dream,1
we,97
one,57
million,548
people,10
started,6
small,13
twostory,1
building,23
now,1
office,23
tower,2
meter,1
tall,1
raise,8
head,3
watch,1
star,1
kiss,1
land,15
motherland,1
because,2
love,2
much,2
scent,1
mud,1
deeply,1
finance,121
healthcare,16
are,2
two,18
huge,3
wing,1
spread,6
u,8
under,19
techpowered,4
strategy,63
take,17
hand,16
ai,27
across,14
sky,1
our,20
goal,12
become,22
worldleading,21
personal,24
service,274
group,241
focusing,9
major,49
industry,78
pan,14
asset,632
care,40
apply,11
innovative,15
technology,157
five,27
ecosystem,29
auto,59
real,54
estate,47
smart,43
city,23
combine,6
unique,5
advantage,18
talent,3
strength,6
scenario,26
data,76
leading,23
application,43
pursue,13
explore,7
transform,5
leader,8
turn,4
continue,25
seek,4
survival,9
via,36
innovation,23
remain,7
thankful,4
heart,4
actively,15
answer,3
call,6
fight,2
key,53
battle,2
poverty,11
alleviation,9
carry,13
develop,23
rural,7
area,32
as,220
always,5
rmb,379
number,141
internet,56
user,90
thousand,27
retail,72
customer,305
contract,328
per,88
monthly,22
active,35
proportion,38
mobile,9
holding,37
multiple,18
different,31
subsidiary,250
return,95
weighted,19
average,50
attributable,61
shareholder,153
parent,55
company,408
basic,8
earnings,13
solvency,70
margin,104
ratio,116
residual,29
roe,5
net,244
interest,241
nonperforming,8
loan,118
provision,84
coverage,13
adequacy,21
held,147
trust,94
na,48
some,7
indicator,16
disclosed,47
le,36
the,948
figure,9
comparative,5
restated,13
i,5
realigned,1
segment,69
according,62
activity,64
certain,35
reclassified,16
conform,2
relevant,95
period,146
presentation,13
strives,2
coming,4
decade,3
create,13
growth,70
driver,6
applying,16
traditional,11
ie,17
provide,48
product,140
exploiting,1
local,15
line,49
global,19
standard,59
integrated,30
model,88
onestop,10
powered,4
services,4
introductionabout,1
usannual,1
foreign,66
investor,48
april,14
wa,239
established,46
first,52
jointstock,5
brought,5
board,15
becoming,6
institution,75
acquired,16
river,1
renamed,4
founding,3
february,17
pilot,4
december,536
given,9
approval,17
acquire,5
marked,2
start,18
banking,106
june,63
national,15
expanding,1
nationwide,5
october,13
breakthrough,6
noninsurance,30
establishing,7
securities,98
co,86
ltd,106
took,7
stake,6
single,9
largest,11
introduced,6
individual,73
marketing,11
system,84
pioneering,3
policy,161
milestonesannual,1
lifes,7
written,41
premium,193
exceeded,4
billion,19
hshare,1
listing,18
acquiring,3
sdb,3
july,22
enhanced,17
going,13
public,27
became,10
controlling,31
later,18
merged,2
built,23
presence,4
country,11
listed,40
world,9
began,4
build,15
cap,5
rose,33
trillion,16
ranked,22
st,7
among,41
joined,17
top,17
ten,3
high,15
brand,15
insurer,19
rating,21
list,23
th,49
maintaining,8
ans,28
center,9
platform,82
chairman,69
ma,17
gave,2
class,11
primary,14
continued,185
recovery,10
economy,24
steadily,12
picked,3
cpc,1
beginning,37
journey,3
towards,9
modern,2
socialist,1
celebrate,3
anniversary,5
extremely,3
important,8
connected,14
past,24
embrace,2
closely,16
follow,8
effectively,26
serve,8
strictly,11
prevent,15
adopted,29
this,20
ha,372
enabled,6
deliver,2
excellent,5
for,113
its,6
dividend,122
amount,190
higher,27
previous,10
happy,1
see,3
price,68
increased,56
sharply,5
record,16
widely,5
recognized,132
row,1
honored,4
respected,3
enterprise,40
china,1
paying,1
attention,9
crossselling,12
offering,9
use,40
enhance,15
efficiency,24
make,48
secure,5
professional,24
convenient,8
base,15
grew,29
accounted,24
reached,17
accelerated,1
on,41
boost,12
cut,2
cost,140
improve,24
experience,57
manage,23
core,39
competitive,6
maintained,27
stable,19
healthy,22
longterm,29
creation,2
protectionoriented,4
philosophy,11
precisely,1
seize,3
opportunity,10
boosted,6
sale,37
agent,50
productivity,6
climbed,3
industryleading,3
combined,8
banks,9
revenue,120
respectively,40
due,123
strategic,28
developed,37
diverse,15
technological,7
capability,23
exported,2
society,9
over,16
incubated,3
several,5
hightech,1
three,31
associate,61
statementannual,1
at,20
executive,51
meeting,82
alliance,2
mediumsized,6
shenzhen,47
each,5
stage,9
lasted,1
total,134
nearly,6
thanks,9
staff,13
hard,1
work,19
believe,4
fate,1
tied,1
destiny,1
rise,2
nation,4
often,2
accompanied,2
emergence,1
outstanding,19
support,27
answered,1
charity,3
designated,12
day,30
conducted,13
education,14
program,16
consecutive,7
schooling,1
child,2
remote,4
provided,42
protection,16
financing,46
