token,frequency
n,6
e,5
l,532
é,1
a,17
u,39
r,2
v,1
w,1
quality,26
life,51
contributing,15
healthier,44
future,34
our,90
purpose,12
nestlé,12
world,33
largest,9
food,67
beverage,37
company,36
present,6
country,19
around,24
we,116
offer,18
wide,6
portfolio,33
product,94
service,21
people,39
pet,7
throughout,8
brand,56
range,36
global,31
icon,2
like,13
local,18
favourite,2
based,13
town,1
wa,61
founded,2
year,62
ago,1
accompanying,1
report,18
letter,2
shareholder,25
strategy,28
compensation,4
financial,25
statements,1
innovating,7
changing,8
connecting,3
creating,10
review,12
information,14
online,9
you,2
find,4
wwwnestlecom,2
wwwnestlecomcsv,1
performance,24
driven,18
engine,1
value,54
creation,14
organic,44
sale,60
growth,131
within,4
guided,2
expectation,6
cost,19
reduction,12
initiative,17
delivered,5
margin,53
improvement,12
ahead,5
on,2
right,24
summary,1
result,18
achieved,13
group,10
internal,16
billion,43
underlying,58
trading,91
operating,99
profit,96
basis,39
point,35
currency,11
earnings,11
per,28
share,40
cash,9
flow,11
chf,23
net,16
debt,6
proposed,3
dividend,8
increase,22
measure,6
defined,3
detail,4
see,10
page,7
business,79
for,23
ha,38
making,5
enhance,13
contribute,5
provide,15
safe,8
nutrition,60
individual,14
family,10
across,32
seven,1
category,36
tastier,9
choice,10
stage,3
time,13
day,14
what,1
sell,4
powdered,2
ice,16
cream,17
through,16
want,8
help,35
shape,3
better,16
also,47
inspire,5
live,8
this,37
ensure,17
longterm,29
success,13
society,24
prepared,8
dish,11
cooking,10
aid,8
confectionery,19
water,60
where,1
aoa,4
ams,4
number,20
employee,18
salary,1
social,5
welfare,6
expense,2
tax,5
paid,1
commitment,33
featured,1
chapter,1
guide,5
collective,4
effort,12
meet,10
specific,10
objective,5
every,8
touch,1
farmer,19
grow,9
ingredient,32
enjoy,4
community,13
work,23
natural,30
environment,12
upon,1
depend,1
over,2
new,55
nutritious,8
launched,22
address,8
daily,2
need,37
gap,4
child,27
intake,2
study,3
serving,6
fortified,5
higher,6
vulnerability,2
micronutrient,6
malnutrition,3
providing,10
productsyear,1
renovated,1
health,48
consideration,1
average,5
million,34
coffee,28
plantlet,1
distributed,1
cumulative,1
since,13
target,13
job,3
opportunity,17
traineeship,2
apprenticeship,2
provided,4
young,12
volume,2
priority,11
raw,6
material,11
paper,3
responsibly,4
sourced,3
trained,2
capacitybuilding,1
programme,18
planet,7
emission,6
scope,2
tonne,6
factory,12
zero,10
waste,13
disposal,6
withdrawal,5
electricity,3
come,7
renewable,6
source,10
dear,1
fellow,1
built,4
profound,2
understanding,14
that,2
continuous,5
compelling,2
lead,15
sustainable,16
it,40
ability,7
change,35
adapt,3
exception,1
continuity,5
continued,16
build,3
long,5
term,7
increasing,7
speed,2
efficiency,21
competition,1
intensifying,1
consumer,51
shifting,2
digital,12
disruption,4
reshaping,1
connect,3
communicate,2
buy,1
engage,1
anticipating,3
responding,3
healthy,29
sense,1
urgency,1
setting,3
agile,1
course,2
supported,11
real,5
pricing,40
consistent,7
prior,4
divestments,7
reduced,9
foreign,11
exchange,11
minimal,2
negative,15
impact,32
reported,24
increased,26
emerging,9
market,47
developed,14
constant,6
directors,3
proposing,2
rd,2
underlining,1
centime,1
clear,4
path,3
forward,5
heart,2
invented,1
farine,1
lactée,1
saved,1
wellness,11
relevant,5
ever,4
globe,2
they,9
interested,1
role,4
play,4
personal,2
wellbeing,6
well,28
positioned,2
support,26
delicious,1
convenient,6
broad,2
includes,9
recognised,2
leader,4
many,13
fastestgrowing,2
during,3
confirmed,1
model,13
midterm,1
underscore,1
balance,6
topline,2
bottomline,2
set,11
aim,23
achieve,7
midsingle,2
digit,2
core,6
different,5
to,16
steadily,1
managing,3
care,1
bottled,3
infant,19
healthcare,9
additional,4
area,20
especially,6
meeting,6
nutritional,17
ageing,7
population,3
furthermore,2
building,11
strong,26
position,5
allocating,2
capital,24
actively,4
developing,12
reflect,5
taste,15
lifestyle,7
tastiest,2
healthiest,2
compete,1
capitalising,1
recent,3
trend,9
whole,5
grain,4
calorie,1
delivering,9
plantbased,7
alternative,5
innovation,24
key,15
differentiator,2
fueling,1
industryleading,4
research,20
development,34
network,3
combined,3
deep,1
insight,1
speeding,1
meaningful,2
bring,6
quickly,4
in,61
several,4
acquisition,10
helped,7
strengthen,6
fastgrowing,3
give,2
access,15
demand,8
experience,10
took,2
majority,3
stake,2
roaster,3
retailer,3
acquired,4
one,13
cold,3
brew,3
with,4
meal,8
growing,8
frozen,8
offering,11
highquality,9
vegetarian,4
bought,1
minority,1
interest,4
delivery,4
platform,9
announced,5
left,1
chief,9
executive,10
officer,9
simplifying,3
manufacturing,6
footprint,4
ensured,1
transition,2
focusing,4
structural,6
saving,8
nonconsumer,2
facing,3
specifically,1
procurement,6
administrative,1
optimising,3
utilise,1
capacity,5
effectively,2
leverage,3
size,3
scale,8
activity,17
established,3
three,8
purchasing,3
hub,4
by,9
expect,4
requirement,3
continue,16
