token,frequency
form,10
cid0registration,1
the cid0,4
scal year,1
cid0transition,1
the transition,7
period,65
event,3
this shell,1
company,103
report,37
cid0,634
number,41
place,118
cer,1
name,6
andor,13
each class,1
each exchange,1
trading,84
connection,33
the registration,2
pursuant,61
andcid0exchange,1
obligation,17
the number,78
capital,251
common stock,4
the close,2
the period,69
the annual report,5
value,190
check,9
mark,9
the registrant,12
a wellknown seasoned issuer,1
decid0,2
this report,23
transition report,1
indicate,4
such cid0,2
ling,1
dayscid0cid0cid0cid0yescid0cid0,1
cid0cid0cid0cid0nocid0cid0,3
corporate website,1
this chapter,75
accordance,125
rst time,1
a large accelerated cid0,1
an accelerated cid0,1
ler,4
a nonaccelerated cid0,1
decid0 nition,1
accelerated cid0,2
lercid0cid0,3
growth,47
companycid0cid0,1
the extended transition,1
cid0 nancial accounting,1
the term,13
cation,1
basis,21
this cid0,1
response,13
the previous question,1
nancial statement,1
item,5
an annual report,4
a shell,1
cid0cid0cid0itemcid0cid0cid0,1
senior management,8
information,217
the company,90
risk,140
development,105
overview,3
unresolved staff,1
financial review,5
governance,25
share,334
ownership,14
party,8
the offer,4
market,111
equity,183
dividend,71
security,40
use,46
accountant,1
the listing,7
audit,15
the issuer,4
safety,91
disclosure,8
i,6
presentation,75
this annual report,9
the year,144
herein,74
reference,97
page,102
addition,142
contain,3
accounting,56
management,278
operating,94
performance,156
that presentation,1
this information,4
the primary method,1
a meaningful basis,1
isolation,1
a substitute,1
financial information,20
compliance,57
competitive position,2
a range,4
investment,44
independent market,1
available information,9
additional information,26
business,143
the fiscal year,32
other information,18
the public,4
website,23
httpwwwsecgov,2
certain commercial document,2
retrieval,2
display,4
material,3
any part,1
this document,15
an aid,1
location,3
certain,1
conversion,12
table,8
a conversion,3
refer,80
statement,26
the management,26
the information,28
such management,1
ability,13
material information,1
any intention,1
forwardlooking,1
the distribution,15
new information,5
oil,289
natural gas,99
currency,42
exchange,45
the success,7
the economic efficiency,1
exploration,86
production,401
limitation,4
proven,1
the ability,12
unit,34
refining,51
marketing,26
the current capital,1
expenditure,3
anticipated cost,1
tax,122
