token,frequency
form,99
f,72
united,1
states,5
securities,13
dc,1
pursuant,86
to,75
section,68
b,257
or,8
g,20
of,84
exchange,120
act,47
cidannual,1
for,275
cid,935
scal,1
year,854
ended,87
decembercid,2
cidtransition,1
transition,11
period,232
report,250
date,192
event,103
requiring,7
shell,3
company,647
commission,19
le,72
number,263
sa,268
exact,3
name,31
registrant,15
specicid,1
ed,1
its,29
charter,23
republic,6
organization,111
place,125
ce,1
chief,249
financial,1003
ofcid,1
cer,1
andor,31
registered,55
sectioncidb,1
title,8
class,22
depositary,27
stock,92
not,12
trading,147
connection,33
registration,243
requirement,67
sectioncidg,1
reporting,111
obligation,171
sectioncidd,1
none,7
indicate,11
outstanding,42
share,1206
issuer,7
capital,301
common,28
close,12
covered,44
annual,159
par,39
value,421
check,13
mark,12
wellknown,1
seasoned,1
decid,3
ned,2
actcidcidcidcidyescidcid,2
if,40
required,74
cidcidcidcidyescidcid,1
whether,42
cidhas,2
led,16
preceding,44
cidmonths,2
shorter,4
wa,499
subject,171
ling,3
past,23
ha,484
submitted,32
electronically,1
posted,5
corporate,89
website,33
every,32
interactive,3
data,101
file,10
chapter,222
submit,4
post,8
yescidcid,1
in,809
accordance,125
applicable,144
rule,115
rst,1
time,128
large,34
accelerated,6
ler,5
nonaccelerated,1
see,41
nition,1
one,190
largecidacceleratedcidcid,1
lercidcid,3
nonacceleratedcidcid,1
emerging,12
growth,98
companycidcid,1
prepares,3
nancial,5
statement,175
gaap,1
elected,14
use,105
extended,17
complying,7
new,236
revised,17
accounting,127
standard,119
provided,78
actcid,1
the,1670
term,191
refers,12
update,26
issued,64
standards,19
codicid,1
cation,1
april,52
basis,124
used,179
prepare,14
included,106
othercidcid,1
other,315
checked,2
response,22
previous,76
question,34
item,161
followcidcidcidciditemcidcid,1
cidcidcidcidnocidcid,1
this,231
page,118
intentionally,6
left,9
table,88
presentation,120
statements,293
regarding,95
competitive,18
position,81
additional,96
information,494
certain,175
terms,2
abbreviations,2
and,166
cautionary,2
concerning,72
forwardlooking,12
identity,12
director,544
senior,39
management,403
adviser,4
offer,56
statistic,5
expected,75
timetable,3
selected,14
risk,411
factor,59
history,17
development,291
overview,56
matter,25
a,175
unresolved,1
staff,22
comment,4
operating,374
review,78
prospect,11
directors,151
employee,460
governance,184
ownership,16
major,144
shareholder,237
related,318
party,60
transaction,134
listing,36
quantitative,9
qualitative,13
disclosure,22
market,315
description,18
security,145
equity,219
dividend,230
arrearages,1
delinquency,1
modification,3
right,300
holder,51
proceeds,8
procedure,162
expert,15
code,102
ethic,25
c,113
principal,21
accountant,4
fee,81
service,227
audit,101
committee,110
e,126
purchases,11
affiliated,7
purchaser,4
change,276
certifying,2
h,11
mine,2
safety,155
exhibits,2
references,2
document,476
reference,122
december,639
attached,14
expressly,6
herein,77
incorporated,86
start,26
prepared,15
ifrs,12
adopted,39
union,22
eu,21
addition,149
contain,8
measure,105
defined,100
generally,61
accepted,9
principle,84
our,14
us,45
along,20
directly,64
comparable,5
evaluating,7
performance,273
we,14
believe,4
useful,9
investor,36
allows,12
understand,8
primary,25
method,106
evaluate,12
meaningful,2
considered,46
isolation,1
substitute,3
presented,69
compliance,70
nongaap,1
reported,37
u,5
may,399
similarly,7
titled,2
amount,275
otherwise,13
indicated,10
made,187
referring,2
based,261
estimate,85
case,81
rely,6
range,33
source,32
including,306
investment,246
analyst,15
independent,161
study,37
internal,181
assessment,75
publicly,20
available,111
result,161
participant,17
primarily,35
business,306
operation,214
relating,72
fiscal,213
recent,13
inspect,3
sec,13
all,25
totals,25
filing,8
public,67
httpwwwsecgov,2
commercial,129
retrieval,2
also,370
display,5
no,24
material,92
part,158
aid,1
location,5
abbreviation,2
conversion,33
meaning,10
well,230
refer,155
glossary,8
starting,94
referred,17
such,14
uncertainty,11
these,163
belief,26
assumption,34
currently,39
include,117
forecast,6
projection,3
anticipated,6
synergy,11
possible,48
assumed,13
future,146
preceded,1
followed,21
word,4
expects,30
anticipates,3
intends,21
plan,296
target,58
similar,25
expression,3
assurance,13
they,41
involve,5
differ,6
materially,15
expressed,26
many,14
determine,13
beyond,24
ability,25
control,214
predict,1
except,31
ongoing,17
disclose,10
law,95
doe,48
intention,5
distribution,56
even,11
circumstance,29
incorrect,2
misleading,1
various,90
discussed,12
elsewhere,1
could,115
affect,29
cause,15
actual,23
adverse,20
general,77
economic,141
condition,248
served,15
price,372
oil,561
natural,145
gas,640
refined,22
product,224
petrochemical,55
chemical,32
currency,103
rate,293
devaluation,2
success,10
efficiency,58
exploration,257
production,739
program,170
without,46
limitation,18
controlled,19
operated,64
proven,2
potential,72
reserve,349
capability,3
facility,89
unit,88
cost,345
refining,173
marketing,93
margin,37
current,181
expenditure,45
realize,1
saving,17
resource,70
competitor,11
regulation,101
tax,354
environmental,107
industrial,127
quality,34
opportunity,61
pursued,2
generate,10
cash,313
flow,207
obtain,11
financing,72
fund,62
liquidity,22
governmental,12
regulatory,27
approval,61
respond,11
challenge,47
international,96
political,18
national,26
armed,2
conflict,48
trade,28
proposed,17
sanction,55
conduct,37
country,194
complete,9
integrate,4
appropriate,55
acquisition,167
strategic,56
alliance,9
joint,83
venture,81
environment,139
adversely,15
license,75
contractual,47
impose,3
minimum,30
drilling,32
nationalization,2
expropriation,2
power,82
generating,2
activity,524
possibility,9
unpredictable,2
labor,11
dispute,9
accident,24
inadequately,1
hedge,66
crude,112
finished,4
please,4
ii,35
advisers,1
statistics,1
key,47
following,228
present,80
consolidated,366
effective,37
january,131
changed,5
comparative,10
restated,15
retrospective,3
application,60
interpretation,12
however,42
impact,254
significant,116
young,33
kpmg,10
division,89
firm,8
auditor,74
audited,12
historical,19
total,379
derived,7
read,4
conjunction,6
notes,120
thereto,9
m,205
per,257
dataa,1
revenues,5
sale,300
income,492
group,500
earnings,34
fully,48
diluted,9
