token,frequency
generation,35
come,8
a,1345
n,1616
ua,2
l,629
r,1316
ep,1
o,1225
t,998
key,98
k,114
swa,22
g,436
e,2261
u,535
p,323
volume,116
thousand,72
deliveries,11
customer,237
unit,127
sale,384
production,168
ifrss,1
million,643
sales,61
revenue,167
operating,286
result,277
special,103
item,163
return,101
earnings,128
tax,391
research,50
development,258
cost,315
rd,12
ratio,80
capex,18
capexsales,2
net,137
cash,308
flow,180
liquidity,41
dec,98
investment,209
equity,206
hgb,2
income,229
fiscal,158
year,786
dividends,7
per,74
ordinary,47
share,379
preferred,69
activity,171
investing,28
attributable,115
x,30
subsequent,19
statistical,4
trend,69
data,63
including,119
unconsolidated,9
joint,81
venture,81
these,79
company,301
accounted,56
using,111
method,64
prioryear,77
delivery,58
updated,16
reflect,20
allocation,27
consolidation,28
adjustment,40
services,29
division,50
excluding,43
acquisition,33
disposal,41
percentage,37
average,61
this,207
version,32
annual,99
report,310
translation,12
original,11
the,1438
take,51
precedence,1
all,13
figure,137
shown,26
rounded,4
minor,5
discrepancy,11
may,146
arise,35
addition,163
amount,351
previous,331
parenthesis,1
directly,43
current,189
reporting,262
period,320
specified,6
vehicle,536
range,87
correspond,9
obtained,12
wltp,2
chassis,5
dynamometer,3
value,404
seriesproduced,1
vary,9
depending,18
equipment,84
actual,19
deviate,1
practice,5
various,59
factor,57
to,105
our,66
shareholders,12
divisions,8
letter,5
supervisory,68
škoda,25
seat,23
commercial,123
group,366
scania,7
man,36
management,362
consolidated,292
financial,898
statements,197
additional,51
information,123
goals,4
strategies,5
statement,231
internal,56
comprehensive,104
fiveyear,6
review,25
performance,181
indicators,4
activities,4
changes,20
glossary,4
corporate,47
governance,28
index,28
scheduled,4
dates,2
notes,81
responsibility,46
auditors,12
remuneration,178
executive,36
bodies,3
disclosures,7
required,68
under,18
condensed,4
accordance,108
enhancement,20
expected,113
prospects,3
wa,467
published,18
occasion,6
march,17
board,52
market,501
leading,14
indicator,37
far,18
reaching,4
social,20
technological,14
upheaval,3
time,158
ability,16
climate,17
protection,55
rapidly,4
gaining,2
significance,8
investor,53
around,38
world,46
at,243
large,34
technology,81
outstripping,1
traditional,3
industrial,12
term,101
capitalization,15
valuation,26
focusing,8
potential,76
rather,4
asset,550
base,11
volkswagen,85
wisest,1
choice,1
consciously,1
embrace,1
combination,7
two,53
we,285
resource,48
strong,25
making,29
good,40
use,120
effort,12
become,26
leader,4
core,34
product,186
car,161
important,52
internet,12
device,14
future,182
big,5
opportunity,66
in,704
based,194
economy,47
ha,209
considerable,21
create,9
modern,13
model,247
already,50
boast,2
ten,5
software,52
smartphone,2
increase,169
fully,18
connected,15
receive,28
growing,22
number,122
new,303
digital,41
user,6
application,46
transmit,1
valuable,2
traffic,10
density,4
air,11
quality,68
hazardous,3
situation,50
much,10
open,12
line,81
business,256
intend,8
develop,32
first,88
automaker,1
establish,9
separate,28
position,63
combine,8
groups,18
expertise,32
single,14
organization,46
started,4
orga,3
nization,4
brings,2
together,49
it,118
expert,18
interest,292
subsidiary,62
rise,43
they,32
developing,16
vwos,2
uniform,12
proprietary,1
system,201
installed,8
also,341
manufacturer,42
commit,3
target,120
change,236
by,26
aim,75
reduce,29
co,56
emission,92
fleet,56
percent,24
neutral,4
working,75
flat,2
drive,42
evolution,1
automobile,22
toward,14
electric,67
mobility,91
driving,52
viable,7
alternative,10
combustion,9
engine,101
produced,26
reasonable,7
offer,46
utility,1
along,19
lower,77
running,3
greater,17
pleasure,2
developed,31
pro,21
prietary,1
platform,22
exclusively,6
meb,9
brand,330
bring,15
id,9
part,176
campaign,7
last,21
successfully,10
demonstrated,3
etron,19
able,33
excite,8
premium,27
segment,100
gained,5
show,41
infra,2
structure,49
control,83
right,116
switch,3
there,50
doubt,2
emobility,28
catch,1
question,23
shareholder,96
that,1
bright,1
ahead,5
certain,62
cars,20
still,32
fulfill,10
desire,1
individual,146
better,12
mean,38
transport,26
for,93
people,30
espe,4
cially,4
emerging,19
society,11
represents,7
longed,1
promise,2
freedom,2
symbol,1
prosperity,1
least,28
losing,3
negative,55
becoming,15
cleaner,5
safer,5
quieter,5
precisely,3
work,77
every,21
day,26
mobilizing,1
massive,1
next,12
five,37
alone,2
billion,374
invested,45
topic,18
relevance,11
earmarked,2
digi,2
talization,2
what,1
strength,8
finance,44
green,2
transformation,27
safeguard,16
tech,1
nologies,1
successful,28
existing,38
maintain,6
high,68
level,157
especially,32
phase,11
customers,2
choose,3
highly,14
efficient,25
hybrid,49
completely,17
battery,27
from,10
attractive,18
fascinating,1
across,38
impress,5
worldwide,61
another,20
highlight,8
launch,18
eighth,5
extremely,2
despite,15
economic,80
uncertainty,42
performed,8
exceedingly,1
well,174
lifted,2
declining,10
returned,1
profitability,16
many,28
profitable,8
continues,13
pick,1
speed,8
and,2
significantly,22
improved,25
rose,53
profit,201
climbed,3
bil,10
lion,12
slightly,48
forecast,45
higher,125
course,28
qualitative,1
growth,94
aligning,2
even,38
closely,13
formance,3
would,67
without,15
huge,1
commitment,31
employee,112
i,1389
like,7
thank,1
warmly,1
success,40
possible,64
of,13
benefit,103
therefore,66
proposing,4
significant,56
dividend,67
main,33
priority,9
complying,3
limit,30
maintaining,2
leverage,17
synergy,24
within,99
consistently,12
optimizing,6
overall,58
strategy,87
ensure,56
whole,30
exploit,1
efficiently,6
productivity,5
gain,37
needed,8
cutting,3
program,75
underway,3
con,30
siderable,1
site,24
particular,105
done,2
industry,39
changing,5
radically,1
climateneutral,2
look,6
forward,34
continued,47
support,27
journey,1
strategic,86
milestone,5
traton,3
with,73
move,4
systematically,19
portfolio,49
decisive,6
action,116
includes,39
divesting,1
section,93
focus,67
squarely,1
automotive,56
sincerely,1
improving,12
nue,3
grew,5
faster,7
diess,6
integrity,57
legal,94
affairs,5
dring,3
chairman,82
passenger,146
se,69
hc,31
f,531
resources,11
audi,29
ag,224
sommer,5
components,3
procurement,36
gentleman,1
committee,37
focused,14
wagen,49
direction,6
regularly,26
deliberated,1
ment,57
supervised,1
supported,6
advised,3
issue,162
relating,88
duty,16
law,86
rule,55
procedure,32
observed,2
relevant,72
recommendation,20
suggestion,9
involved,21
decision,49
fundamental,7
importance,13
tionally,2
discussed,6
consideration,18
regular,45
interval,5
complied,14
disclosure,54
obli,5
gations,6
provided,32
promptly,7
comprehensively,3
writing,4
person,21
particularly,76
matter,57
panys,3
planning,59
included,79
risk,611
respect,35
informed,9
improvement,30
compliance,102
received,56
infor,5
mation,9
topical,1
ongoing,27
basis,136
document,10
meeting,60
detailed,16
busi,9
ness,11
any,10
deviation,7
plan,164
pre,7
viously,1
drawn,5
explained,7
detail,24
either,16
analyzed,6
reason,22
enable,13
countermeasure,3
derived,14
presented,70
connection,86
diesel,153
consulted,2
discus,4
address,17
agement,17
held,87
total,137
attendance,6
rate,291
resolution,21
urgent,1
adopted,23
electronic,9
communication,14
medium,13
member,168
attended,2
half,24
c,708
m,610
v,261
s,1184
order,77
discharge,1
entrusted,3
visory,14
established,27
mination,2
since,94
october,17
consist,8
three,46
representative,29
make,67
mittee,4
remaining,25
composed,4
repre,4
sentatives,4
december,147
given,26
page,40
met,23
prepared,30
dealt,2
composition,7
took,9
among,68
thing,38
contractual,12
cerning,1
consenting,1
ancillary,3
responsible,46
suitable,6
candidate,3
recommend,3
election,9
one,98
convened,1
six,16
past,31
effectiveness,16
audit,99
concerned,26
quarterly,5
halfyearly,2
supervision,8
process,165
examination,10
thereof,10
auditor,54
coordinating,1
preparing,12
end,99
examining,1
consequence,20
finding,17
state,60
affair,4
administrative,40
fine,30
proceeding,107
conducted,26
dr,45
ing,28
ended,7
imposed,11
prosecutor,18
furthermore,31
preliminary,5
discussion,11
upon,11
induction,1
education,4
training,47
seminar,2
bear,7
appointed,38
introduction,14
apply,30
specifically,4
d,554
b,269
y,177
h,378
rv,2
place,42
january,98
february,35
following,120
approved,9
consoli,5
dated,11
ments,17
examined,5
combined,46
nonfinancial,16
relation,30
ship,11
accor,5
dance,5
dependent,21
completion,13
came,8
conclusion,8
objection,11
raised,3
concluding,4
declaration,21
other,192
agenda,7
financing,69
measure,144
th,11
proposed,7
april,36
largely,18
pötsch,7
alongside,8
preparation,13
others,11
monitor,14
affecting,4
build,9
july,23
centered,2
concerning,10
construction,17
planned,20
cooperation,18
ford,7
on,44
september,43
indictment,8
public,31
office,45
former,17
prof,4
alleged,24
manipulation,4
decided,10
unanimously,2
mr,52
continue,47
post,1
second,26
creation,7
agreement,93
syndicated,6
credit,88
november,26
submitted,10
formity,1
voted,1
building,17
cell,15
factory,11
st,80
hans,9
dieter,2
his,2
irrespective,5
avoid,9
conceivable,3
conflict,15
always,18
left,13
room,2
prior,34
might,2
relate,35
conduct,15
attend,3
addressed,4
manipu,1
lation,3
moreover,13
participate,10
deliberation,1
insofar,3
personal,7
example,69
reimbursement,3
expense,146
starting,17
autumn,1
launched,27
criminal,25
investigation,30
provision,159
tution,1
act,34
possibly,5
excessive,2
granted,65
council,6
flicts,1
osterloh,2
constitution,2
no,18
reported,78
discern,1
ible,1
table,49
participation,12
alcidabdulla,1
hessa,4
alcidjaber,1
hanspeter,3
fischer,3
june,32
meetings,2
full,26
friday,1
implementation,29
dis,2
cussed,1
currently,44
applicable,19
issued,53
conformity,19
corporation,22
recommenddations,1
draft,1
amendment,11
government,27
commission,16
pertaining,7
permanently,11
available,59
wwwvolkswagenagcomeninvestorrelations,1
corporategovernancedeclarationofconformityhtml,2
tional,5
recom,2
mendations,2
found,22
note,48
ry,2
effective,30
uwe,3
stepped,5
request,15
succeed,3
effect,136
jaber,3
duly,3
close,7
reelected,1
ms,8
birgit,3
conny,2
secretary,2
ig,3
metall,2
elected,17
schönhardt,1
transferred,24
abraham,2
schot,6
step,9
mutual,4
duesmann,1
sincere,1
thanks,11
go,3
departing,1
august,13
longtime,1
died,2
age,15
during,9
career,5
instrumental,3
global,69
everyone,3
enormous,2
gratitude,1
service,227
remember,2
life,44
belonged,2
tireless,1
throughout,24
made,81
contribution,63
shaping,6
fondly,1
accomplishment,1
au,3
proposal,8
gmbh,114
wirtschaftsprüfungsgesellschaft,2
pwc,2
audited,12
unqualified,3
case,107
commissioned,4
external,51
contentrelated,3
non,8
retired,4
retirement,23
taken,44
aktg,1
early,44
detection,2
endangering,1
existence,3
affiliated,6
companies,3
opin,2
ion,2
opinion,30
statutory,14
certify,1
factual,5
correct,3
transaction,94
referred,10
unduly,1
tation,4
documentation,3
respectively,8
extensively,4
material,74
provide,30
taking,30
sion,11
boards,1
com,39
recommended,1
approve,4
depth,3
knowledge,43
talk,4
due,118
proper,5
assessment,70
corresponds,16
ass,13
concurred,1
thus,40
reviewed,13
appro,1
priation,1
account,74
pany,5
endorsed,1
attain,1
limited,20
assurance,14
independent,33
express,5
appre,1
ciation,3
team,10
immense,1
great,5
loyalty,9
readiness,2
introduced,23
helping,7
spite,4
challenge,30
increased,91
amid,16
persistently,7
challenging,4
environment,55
resulted,35
adverse,9
consists,8
comprises,36
engineering,29
area,117
comprise,24
light,60
truck,56
bus,39
motorcycle,6
genuine,14
largebore,2
turbomachinery,5
gear,4
propulsion,3
component,96
testing,22
solution,53
gradually,7
added,17
