token,frequency
integrated oil,2
gas,269
the world,4
each day,5
the quality,6
life,7
the globe,2
the supply,5
power,40
heat,15
expertise,9
efficient,3
development,121
market,34
leadership,1
responsibility,12
the oil,17
industry,15
this document,5
all equivalent,2
the context,5
increase,19
highviscosity,15
oil,385
production,308
the commissioning,1
drilling,36
field,141
the permian reservoir,5
p0,4
construction,38
the fourth quarter,27
schedule,6
second fixed ice,1
resistant platform,1
vacuum,13
gasoil,5
deep conversion,3
complex,14
design,6
capacity,27
product,40
yield,30
the refinery,4
lubricant production,1
high growth,1
project,51
daily gas,1
the target,3
level,16
processing,34
the schedule,4
share,135
gasoline,31
octane grade,1
environmental performance,3
structural improvement,1
operational performance,1
pricing,1
environment,21
dividend,28
policy,56
an annual increase,1
inflation,11
rate,122
a row,3
total dividend,7
efficiency,28
improvement,29
financial growth,1
the website wwwlukoilcom,3
the year,52
longterm strategy,2
update,2
the decision,2
the organic growth,3
business,118
potential,5
work,15
the volatile macro,1
external production,3
the business,11
historical peak,1
model,13
high efficiency,1
shareholder,14
value,48
this path,1
proactive efficiency,1
technology,12
advancement leveraging,1
the updated strategy,2
sustainable organic production,1
growth,41
highmargin,9
continuous efficiency,2
network,18
priority,12
delivery,8
progressive dividend,3
the conservative oil,1
price,57
assumption,1
the strategy,6
the additional shareholder,1
case,16
favorable market,2
an important strategic priority,1
responsible business,2
conduct,4
adherence,4
sustainable development,10
track,5
line,73
the development,34
the share,28
total production,11
the average daily production,1
online,3
output,26
major construction,1
second fixed platform,1
sustainable daily production,1
condensate,12
bln,2
the launch,16
new steam,1
generation,54
the production,16
active work,2
hard torecover,1
the use,17
completion,13
lowpermeability,3
the external production,2
total hydrocarbon,1
the rapid growth,1
evidence,8
ability,10
the first train,1
plant,46
record,7
the planned schedule,1
plateau,1
group,10
a substantial preparatory,1
the readiness,2
refining,48
the refining,6
throughput,13
fuel,83
crossrefinery,1
integration,6
impressive growth,1
the high quality,4
customer,9
aircraft,8
high tech,2
recognition,8
the first time,5
the end,31
refinery,7
the pipeline,4
region,31
addition,21
pipeline,37
diesel,14
port,1
the marketing,2
the area,3
industrial safety,7
petroleum,71
utilization,41
greenhouse,11
the water,1
consumption,18
the industrial waste,1
full second year,1
account,21
future life,1
the planet,1
low carbon,1
economy,3
alternative energy,1
the total capacity,1
the unutilized area,1
first large solar energy,1
the delivery,2
this project,3
the government,5
support,17
renewable energy,7
continuous work,1
subcontractor,1
cooperation,5
trend,3
unique training,1
center,11
the amount,84
sustainable high free cash,1
flow,28
a dividend,1
percentage,6
the inflation,2
the twentieth year,1
the growth,8
world,2
population,2
the additional demand,1
the energy,5
mission,1
the key,1
global energy,2
this demand,1
attention,4
the hydrocarbon,1
the steady demand,1
significant oil,1
volatility,9
flexibility,2
macro,1
a highquality,1
asset,18
portfolio,10
a vast resource,2
base,20
advanced oil,1
effective businessmodel,1
the high level,2
vertical integration,4
any macro,1
key goal,1
efficient capital,1
reinvestment,2
the technological potential,1
order,23
the involvement,1
hydrocarbon,25
each business,2
segment,37
main asset,1
the team,1
a strong base,1
the future,6
confidence,2
free cash,11
operating,41
income,87
depreciation,12
amortization,13
the unfailing trust,1
twelve,1
key target,1
own generation,1
distribution,39
the south,5
both gasfired power,1
own wholesale,1
the extensive network,1
infrastructure,23
refueling,6
trading,30
day,32
a wind,1
hydro power,1
boe,20
the right,7
exploration,58
counter,4
gravity,4
drainage,5
unique development,1
a delayed coker,4
a large oil,1
complex drilling,1
low permeability,3
major production,3
cluster,3
a solar power,1
second development,1
stage,11
the value,5
chain,2
high performance,1
the large employer,1
taxpayer,1
own cash,1
continuous value,1
creation,2
process,27
automation,4
talent,5
efficient business,1
management,175
the conversion,1
water,20
commitment,3
the sustainability,2
reputation,4
a favorable environment,2
sour crude oil,1
light sweet crude oil,1
marketable gas,6
different performance,1
the octane,1
premium,6
marine,7
river,2
bunkering,4
jet,9
yield0,1
loyalty,4
index,3
amount,73
per,2
average share,1
cost,37
vast experience,1
technological expertise,2
location,3
proximity,2
interplant integration,5
the resource,2
building,1
crude oil,99
various petroleum,1
conversion,5
feedstock,8
complex petrochemical,1
year,72
sale,30
ресурсы,1
the principle,1
maximum vertical integration,1
added value,3
further reinforce,1
high resilience,1
macroeconomic environment,1
risk,76
diversification,2
marketing,46
geography,7
range,4
high quality,3
premium distribution,1
a priority,2
channel,5
a wide product,1
access,13
retail network,6
filling,5
incremental value,1
additional diversification,1
nonfuel product,1
efficient wholesale marketing,1
thirdparty,4
electricity,13
lowcost electricity,1
sunlight wind,1
total capacity,1
the governance,19
structure,35
page,6
detailed list,2
balance,7
key product,1
crude,66
own gas,1
excluding,2
further processing,3
own consumption,4
nonfuel revenue,1
transportation,44
other revenue,2
success,5
average new oil,1
flow rate,2
focusing,1
the permian deposit,1
part,51
the field,39
a design,2
commercial production,3
bcmpa,3
managing,1
decline,3
multistage,3
the advanced geological exploration,1
prospecting,4
a result,72
the productivity,3
further exploration,3
the design,10
the potential,3
acquisition,12
the block,4
operation,19
the innovative drilling,1
the average new oil,1
yearonyear,12
average,3
replacement,7
reservoirs,1
commission,4
new gas,3
treatment,25
the map,2
performance,106
daily hydrocarbon,3
ep average headcount,1
unique,2
thermal stimulation,1
quick production,1
the state,3
the preferential tax,1
high economic efficiency,1
vs,14
unit,34
feedwater,2
injection,9
watermarketable crude,2
oil0 m0,2
mformation,3
depth,15
thickness,7
mproduction,1
steam,12
time,17
recovery,12
underground mining,2
thermal steam,2
directional drilling,1
the scope,10
the pace,1
flagship,1
full compliance,3
daily production,1
the first production,3
a wellhead platform,4
m,15
liner,4
borehole,2
the average length,2
аverage,1
initial flow,1
horizontal,3
hightech intelligent inflow,1
monitoring,6
effective control,1
each borehole,1
complexity,3
category,8
key production,2
the plateau,1
annum,22
a gas,5
pretreatment,2
gathering,4
pressure,5
reservoir,9
gas0,2
reservoirfaultwell0 m,1
the key facility,1
the complex,4
a record,2
an outstanding accomplishment,1
a project,3
sulfur production,2
a s t,4
o,6
d,5
e,21
h,7
y,4
a t,5
i,12
n u n,2
atm,8
r,7
c,4
a n g,4
l,3
t,6
desulfurization,2
stable gas,2
marketable sulfur,2
the project,10
a capacity,6
the company,186
a short time,1
the marketable gas,1
export,48
duration,1
total refinery,2
cross,3
volume,7
major refinery,1
upgrade program,2
slate,10
the light product,2
total petroleum,1
the port,7
a pipeline,5
supply,19
the marine export,1
terminal,4
the following,2
the utilization,3
secondary refining,3
a rail,2
trestle,3
discharge,7
the refinerys,2
residue processing,2
the final investment,5
decision,8
the construction,15
mtpa,1
coker,1
the filling,1
station,16
effective marketing,1
an increase,18
demand,16
active marketing,1
an improved product,1
mix,16
successful import,1
substitution,3
the efficiency,8
the distribution,8
the nonfuel,1
high market,2
launch,4
the lubricant,1
rmd average headcount,1
fraction,6
pp,12
the output,9
the vacuum,2
light product,3
improved quality,1
hydrocracker,2
the core,5
a combined sulfur production,1
a hydrogen,1
motor,13
profit,77
approach,4
highquality,2
premium motor,1
brand,2
the new branded fuel,1
octane,2
grade,1
predecessor,2
the composite,1
help,3
the engine,1
the concentration,2
each gasoline,1
the product,7
the fuel,4
choice,1
pipelineai0ai0ai0ai0diesel,1
a sustainable way,3
a balance,3
society,4
the economy,1
the environment,4
average headcount,5
reduction,13
carbon,1
dioxide,1
land,7
system,110
biodiversity,4
conservation,4
the accident frequency,2
the number,24
calculation,4
methodology,4
the accountability,1
turnover,3
assessment,38
training,19
the average employee,1
headcount,1
online training,1
environmental impact,4
renovation,3
use,39
the maintenance,2
emission,3
economic development,3
pool,10
the training,1
succession,3
planning,4
the allocation,1
pollution,3
pollutant,3
the atmosphere,4
the gas,2
kwh,6
energy,26
a wide range,3
solar power,6
unused land,1
annual power,1
hydro,1
a combined capacity,3
wind,2
commercial power,6
cash,55
the key financial result,1
an accounting,1
source,5
a cash,1
the financial result,1
core,14
peer,1
net income,7
the noncash foreign exchange,1
effect,22
high volatility,1
the foreign exchange,1
the effect,16
noncore,1
strong free cash,1
volatile macroeconomic environment,1
average capital,1
production0,1
indicator,2
capital,52
operational indicator,1
the petroleum,4
new conversion,2
total debt,3
the agreement,5
debt,23
the level,6
burden,2
leverage,2
the result,2
conservative financial policy,2
strong financial position,1
a volatile oil,1
foreign exchange,8
twentieth consecutive year,1
accident frequency,3
the annual bonus,1
team,5
strategy,11
the indicator,1
waste,10
disposal,15
a majority,6
the losttime accident frequency,1
